"","date","gdp","gov_con","pub_inv","priv_inv","x","m","pop","gdp_nom","growth_pop","log_gdp_pc","gov_gdp","gov_con_gdp","pub_inv_gdp","priv_inv_gdp","tr_op","growth_gdp_pc","d_2008","d_2018"
"51",2018-07-01,43914426182.3185,14799826058.5697,7594989180.32921,14339163937.234,42828807036.0508,48964563028.6803,6682508.56468511,100714633471.869,0.00340696431671444,8.79050470902376,0.222359099833831,0.146948120132945,0.0754109797008855,0.142374185785417,0.911420385503072,0.00257619627166683,0,1
"52",2018-10-01,45914985187.3687,17210890884.5222,10742972179.916,10373942367.4845,39453955701.2576,51410033454.7344,6706644.77209812,104738841786.992,0.00361184833201149,8.83144802547731,0.266891084410578,0.164321951540424,0.102569132870154,0.0990457999199772,0.867529061862101,0.00465767527677063,0,1
"53",2019-01-01,42891159918.0747,13776888064.2406,5949214379.7574,9615831000.89676,44973825640.4408,49962933718.8113,6732726.01247098,101139169199.167,0.00388886563388021,8.75944090566312,0.1950391979704,0.136217136974012,0.0588220609963881,0.0950752421345378,0.938674502776461,-0.0081534896210077,0,1
"54",2019-04-01,41819864437.226,15035012182.58,6673209699.8682,9651446714.22182,47311669632.6904,51365574083.4571,6756554.04809976,101726645661.754,0.00353913638913108,8.73061372751305,0.213397598448583,0.147798171116073,0.06559942733251,0.0948762898003478,0.970023567318385,-0.00329098380370707,0,1
"55",2019-07-01,43225589339.8062,14428368847.5313,5146560116.04144,10844314926.6539,48128294704.2126,52202188438.8794,6780956.71913788,104528159885.561,0.00361170366793431,8.76006974367876,0.187269430409984,0.138033319091503,0.049236111318481,0.10374539204102,0.959841666139877,0.00337387692149083,0,1
"56",2019-10-01,46725959821.7143,20748100979.8149,11918353881.9675,9422279194.80735,48039834520.765,53570237880.0718,6805794.60756233,113219847142.042,0.00366288850573927,8.83428077656266,0.2885223367313,0.183254981379591,0.10526735535171,0.0832210909363488,0.897458130934945,0.00847151164948845,0,1
"57",2020-01-01,43934197874.4494,16077894456.6452,7005654571.35753,11457774639.4812,53053545621.7959,53581884864.713,6830810.31663757,109989996205.692,0.00367564854917122,8.76900498332485,0.209869531996658,0.146175970645348,0.0636935613513094,0.104171061321378,0.969501174334894,-0.00738891992328161,0,1
"58",2020-04-01,39057844793.3065,16895447044.3688,7863200173.39177,8654193126.55544,38154588941.1461,43956788756.1665,6855553.86330211,99491314405.3012,0.00362234427799397,8.64773991935471,0.248852348225096,0.169818311732632,0.0790340364924638,0.0869844084208251,0.825312020331872,-0.0138288282650926,0,1
"59",2020-07-01,42801826094.9713,13707463725.7507,7227447705.28972,10499692470.7827,45753146578.557,50536637191.1909,6880529.64865231,108728566883.949,0.00364314625020969,8.73564041363219,0.192542880229308,0.126070490199521,0.066472390029788,0.0965679284818456,0.885597838078035,0.0101645626599787,0,1
"60",2020-10-01,45783729848.3751,19430044735.6342,14419518587.4327,12081014799.1468,45491033029.807,56669234421.3935,6905650.50984614,117185446014.077,0.00365100689577854,8.79934407255694,0.288854669879403,0.16580595454917,0.123048715330234,0.103093133235125,0.871782895624498,0.00729238566474577,0,1
"61",2021-01-01,45572747881.7672,19272578491.6756,10326157223.8044,13709650002.6061,55488388646.8316,61606944240.529,6930842.57491596,118293589725.86,0.00364803649328835,8.79108379318315,0.250214198284739,0.162921579574505,0.0872926187102339,0.115895121911319,0.989870483757601,-0.000938738081574964,0,1
"62",2021-04-01,46115234358.6361,15742061962.5203,9220978440.41282,18052005372.2114,58118879228.1305,77119219125.9553,6956078.69785536,119916245236.831,0.00364113347931764,8.79928272761147,0.208170630706723,0.131275474239793,0.0768951564669296,0.150538447368488,1.12777128809357,0.000932642052016597,0,1
"63",2021-07-01,47174429423.7641,17392688191.1884,13422496559.7598,16419667247.6948,59146989315.114,79933221725.1995,6981439.38367766,122605681355.049,0.00364583077964855,8.81835216433644,0.251335700029362,0.141858745850623,0.109476954178739,0.133922564323473,1.1343700349216,0.00216715808723023,0,1
"64",2021-10-01,50468710063.6526,24175063512.5505,18479001490.9657,16033521033.1827,59148950582.5974,80204272320.4862,7006897.21573881,136708254887.927,0.00364650191200827,8.8822138400467,0.312007969368667,0.176836896443226,0.135171072925441,0.117282756965385,1.01934753696713,0.00724190580282458,0,1
"65",2022-01-01,47753443174.2709,20037144357.0923,10548714155.6484,17314257964.5993,69422835331.3375,87094636791.0477,7032439.98834369,132477595344.616,0.0036453756660657,8.82327272379948,0.230875707195449,0.15124930600506,0.0796264011903893,0.130695744586543,1.18146371630036,-0.00663585872943928,0,1
"66",2022-04-01,48222505643.4687,18103399256.1731,12207388525.4535,17633591222.0598,74856115293.3369,93073602723.8093,7058071.19592333,137350772260.761,0.00364471045926004,8.82940930065998,0.22068159707236,0.131804131554526,0.0888774655178333,0.128383633610609,1.22263395576933,0.000695498943827477,0,1
"67",2022-07-01,48762514066.6931,17873752265.1987,12002257538.6113,18262826419.317,70584384885.5394,94093035203.7498,7083802.13347808,139926753974.232,0.00364560470424564,8.83690635422632,0.213511776377745,0.127736488966865,0.0857752874108804,0.130517044815319,1.17688301494948,0.000849100241142819,0,1
"68",2022-10-01,51694043074.384,21431604493.7731,14890307160.6907,17724296207.2439,64992702550.81,93434164350.2386,7109626.47549148,152453306934.709,0.00364554818539491,8.89164812551718,0.238249418033414,0.140578154221027,0.097671263812387,0.116260490268241,1.03918288219814,0.0061946759529341,0,1
